127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.006507
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.008675
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003065
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001668
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001259
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001259
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001082
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000840
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002408
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001303
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001153
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001318
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000987
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001376
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001069
